0.00-0.05,0.05-0.10,0.10-0.15,0.15-0.20,0.20-0.25,0.25-0.30,0.30-0.35,0.35-0.40,0.40-0.45,0.45-0.50,0.50-0.55,0.55-0.60,0.60-0.65,0.65-0.70,0.70-0.75,0.75-0.80,0.80-0.85,0.85-0.90,0.90-0.95,0.95-1.00
38698,108,68,29,16,9,5,1,1,0,0,0,0,0,0,0,0,0,0,0
38567,216,73,37,18,6,12,5,1,0,0,0,0,0,0,0,0,0,0,0
38693,190,40,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38773,103,36,9,9,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0
38662,187,49,18,13,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0
38681,195,46,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38851,63,13,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38285,339,123,85,45,25,14,13,4,1,0,1,0,0,0,0,0,0,0,0
38746,116,34,16,10,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0
38544,194,91,41,35,10,10,4,2,0,3,1,0,0,0,0,0,0,0,0
38770,124,22,13,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38832,74,12,10,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
38869,39,15,2,3,2,1,1,0,0,2,0,1,0,0,0,0,0,0,0
38749,98,46,24,3,3,5,5,2,0,0,0,0,0,0,0,0,0,0,0
38646,224,42,13,5,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0
38666,185,57,20,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
38763,85,25,20,6,13,6,4,1,2,3,2,0,1,2,0,0,1,1,0
36991,1144,420,169,91,55,51,6,5,2,1,0,0,0,0,0,0,0,0,0
38528,305,60,29,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38397,397,81,34,14,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
38084,511,143,61,34,25,16,44,7,3,4,1,1,0,1,0,0,0,0,0
38591,180,58,57,20,10,9,2,3,0,2,2,1,0,0,0,0,0,0,0
38382,438,91,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38508,247,97,32,26,11,7,3,3,1,0,0,0,0,0,0,0,0,0,0
37546,924,195,95,57,40,21,11,11,9,9,8,5,1,1,2,0,0,0,0
38402,360,96,36,19,12,6,1,2,1,0,0,0,0,0,0,0,0,0,0
38878,43,8,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38890,27,7,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38677,180,43,15,9,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0
38772,137,17,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
38410,218,101,60,43,46,20,10,10,7,6,3,0,0,0,1,0,0,0,0
37491,865,257,132,71,42,23,13,8,10,5,5,1,5,2,1,4,0,0,0
38766,104,23,21,9,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0
38851,42,11,8,3,5,3,4,2,5,1,0,0,0,0,0,0,0,0,0
38797,70,31,16,8,4,6,2,1,0,0,0,0,0,0,0,0,0,0,0
38817,67,21,18,5,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0
38625,150,58,34,26,10,11,9,5,6,1,0,0,0,0,0,0,0,0,0
38728,119,42,19,14,7,3,2,1,0,0,0,0,0,0,0,0,0,0,0
38792,103,24,9,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
38889,30,7,4,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
38859,44,11,8,5,5,0,2,0,1,0,0,0,0,0,0,0,0,0,0
38873,47,9,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38855,54,16,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38750,136,29,14,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38885,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38083,610,151,53,21,11,4,2,0,0,0,0,0,0,0,0,0,0,0,0
38320,412,82,52,29,13,8,6,6,2,4,0,1,0,0,0,0,0,0,0
38801,81,28,15,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38585,311,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38701,157,31,18,16,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0
38626,217,50,20,15,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0
38575,203,69,38,21,17,7,4,1,0,0,0,0,0,0,0,0,0,0,0
38608,204,65,30,15,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0
38876,50,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38739,158,34,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38882,48,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38370,362,108,36,21,10,18,5,4,0,1,0,0,0,0,0,0,0,0,0
38546,341,43,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38845,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38821,64,25,3,9,4,1,1,2,2,0,0,2,0,1,0,0,0,0,0
